Technology,Age,CustomerSince,SupportCallsLastYear,AverageBill,ChurnIndicator,churn_label
4G,59,1/25/12 9:27 AM,1,98,0.015,0
phone,65,3/19/11 10:27 AM,0,64,0.009,0
4G,28,12/17/11 9:27 AM,1,88,0.017,0
phone,55,11/21/12 9:27 AM,2,12,0.097,0
4G,38,6/27/15 9:27 AM,0,50,0.002,0
fiber,73,10/30/14 10:27 AM,1,93,0.006,0
landline,71,5/11/15 9:27 AM,5,83,0.003,0
4G,10,3/18/11 10:27 AM,2,57,0.047,0
4G,16,5/21/15 9:27 AM,0,79,0.001,0
phone,3,7/5/13 9:27 AM,0,43,0.007,0
4G,69,9/4/12 9:27 AM,0,65,0.01,0
4G,30,1/31/13 9:27 AM,1,97,0.011,0
4G,47,1/9/14 9:27 AM,0,19,0.019,0
fiber,58,11/3/12 10:27 AM,4,39,0.101,0
4G,47,7/24/15 9:27 AM,1,26,0.006,0
4G,42,4/26/14 9:27 AM,0,65,0.005,0
fiber,53,1/2/14 9:27 AM,2,104,0.014,0
4G,49,9/4/11 9:27 AM,1,67,0.024,0
4G,66,12/7/15 9:27 AM,0,109,0,0
fiber,37,5/8/11 9:27 AM,0,26,0.045,0
fiber,6,12/16/12 9:27 AM,1,60,0.025,0
4G,63,8/14/12 9:27 AM,2,92,0.021,0
phone,64,1/14/13 9:27 AM,0,108,0.003,0
fiber,45,9/8/14 9:27 AM,1,96,0.007,0
4G,45,7/15/14 9:27 AM,3,58,0.018,0
phone,60,1/16/12 9:27 AM,0,103,0.005,0
phone,80,8/31/10 9:27 AM,2,96,0.021,0
4G,10,7/28/13 9:27 AM,2,39,0.035,0
landline,2,8/14/10 9:27 AM,7,33,0.082,0
phone,39,9/6/13 9:27 AM,2,28,0.031,0
phone,60,7/18/13 9:27 AM,1,73,0.008,0
fiber,22,6/2/15 9:27 AM,0,106,0.001,0
fiber,40,1/28/12 9:27 AM,1,104,0.019,0
phone,44,4/22/15 9:27 AM,2,97,0.003,0
landline,3,4/8/15 9:27 AM,3,55,0.003,0
4G,66,7/8/12 9:27 AM,4,58,0.056,0
4G,62,7/2/13 9:27 AM,0,93,0.005,0
landline,77,4/3/11 9:27 AM,1,74,0.008,0
phone,30,9/29/15 9:27 AM,0,59,0,0
phone,10,4/17/15 9:27 AM,10,13,0.07,0
landline,64,9/24/15 9:27 AM,0,98,0,0
4G,10,4/2/12 9:27 AM,0,34,0.021,0
phone,72,10/15/15 9:27 AM,1,83,0.001,0
phone,53,3/2/13 9:27 AM,0,58,0.006,0
fiber,36,9/17/11 9:27 AM,0,98,0.011,0
landline,59,3/27/11 9:27 AM,0,39,0.008,0
phone,3,8/11/10 9:27 AM,2,100,0.02,0
4G,46,9/25/14 9:27 AM,9,76,0.03,0
4G,33,12/23/14 9:27 AM,0,103,0.002,0
landline,53,8/30/10 9:27 AM,1,52,0.013,0
phone,12,1/10/13 9:27 AM,3,60,0.025,0
fiber,26,7/14/11 9:27 AM,1,88,0.025,0
4G,29,9/15/14 9:27 AM,9,80,0.029,0
landline,54,9/20/15 9:27 AM,0,51,0,0
4G,39,5/14/15 9:27 AM,1,57,0.004,0
phone,56,1/25/15 9:27 AM,2,54,0.006,0
fiber,24,7/24/14 9:27 AM,1,84,0.008,0
4G,23,6/28/11 9:27 AM,3,95,0.036,0
phone,3,9/3/11 9:27 AM,0,38,0.014,0
phone,27,2/27/13 9:27 AM,0,50,0.007,0
phone,25,4/12/14 9:27 AM,2,37,0.017,0
fiber,10,3/13/14 10:27 AM,1,65,0.014,0
landline,9,5/17/15 9:27 AM,0,78,0,0
fiber,64,9/13/11 9:27 AM,0,104,0.01,0
landline,46,6/4/12 9:27 AM,0,75,0.003,0
phone,7,4/28/15 9:27 AM,2,35,0.007,0
4G,65,1/10/13 9:27 AM,2,64,0.026,0
4G,68,9/21/11 9:27 AM,0,104,0.008,0
landline,41,2/22/14 9:27 AM,2,75,0.005,0
phone,70,3/30/14 9:27 AM,0,104,0.002,0
phone,62,8/13/14 9:27 AM,0,33,0.005,0
4G,13,4/2/13 9:27 AM,0,57,0.009,0
phone,35,10/8/12 9:27 AM,0,30,0.013,0
4G,49,11/6/12 9:27 AM,1,99,0.012,0
4G,19,6/30/11 9:27 AM,10,41,0.226,0
landline,67,3/19/11 10:27 AM,0,70,0.004,0
4G,73,3/16/12 10:27 AM,0,11,0.064,0
landline,10,8/24/12 9:27 AM,9,65,0.032,0
4G,79,9/8/10 9:27 AM,9,84,0.119,0
landline,18,5/2/13 9:27 AM,2,96,0.005,0
phone,27,9/10/11 9:27 AM,0,11,0.049,0
phone,51,8/11/15 9:27 AM,0,76,0.001,0
phone,71,5/11/15 9:27 AM,0,49,0.002,0
4G,66,11/8/14 9:27 AM,8,27,0.069,0
4G,72,12/1/11 9:27 AM,0,103,0.007,0
fiber,68,9/21/14 9:27 AM,1,109,0.006,0
4G,19,7/8/15 9:27 AM,0,68,0.001,0
4G,3,6/12/15 9:27 AM,0,110,0.001,0
phone,9,12/12/11 9:27 AM,0,66,0.008,0
fiber,12,5/16/12 9:27 AM,0,108,0.008,0
4G,16,7/17/12 9:27 AM,1,79,0.016,0
phone,15,3/12/12 10:27 AM,0,39,0.012,0
4G,62,10/10/11 9:27 AM,1,83,0.019,0
landline,71,12/7/10 9:27 AM,0,95,0.003,0
4G,37,9/15/11 9:27 AM,3,20,0.161,0
4G,51,1/2/13 9:27 AM,0,102,0.005,0
fiber,69,6/10/12 9:27 AM,7,104,0.068,0
phone,58,3/19/14 10:27 AM,1,70,0.006,0
phone,46,3/18/14 10:27 AM,7,42,0.042,0
phone,56,10/11/10 9:27 AM,10,57,0.126,0
landline,33,10/9/13 9:27 AM,2,99,0.004,0
4G,76,11/15/15 9:27 AM,5,51,0.002,0
phone,16,3/19/12 10:27 AM,0,55,0.009,0
fiber,59,5/19/11 9:27 AM,2,84,0.041,0
landline,74,5/11/15 9:27 AM,0,76,0,0
4G,57,7/29/10 9:27 AM,4,94,0.054,0
4G,79,12/20/11 9:27 AM,4,70,0.054,0
landline,12,2/3/15 9:27 AM,0,81,0.001,0
landline,11,7/13/13 9:27 AM,2,94,0.005,0
fiber,23,10/7/15 9:27 AM,0,70,0.001,0
fiber,80,12/18/11 9:27 AM,0,85,0.012,0
phone,74,1/12/13 9:27 AM,8,76,0.044,0
phone,26,9/5/15 9:27 AM,1,105,0.001,0
4G,8,3/6/13 9:27 AM,3,109,0.019,0
4G,60,9/4/11 9:27 AM,2,18,0.135,0
4G,68,12/18/12 9:27 AM,1,73,0.015,0
fiber,46,9/1/15 9:27 AM,4,85,0.004,0
4G,48,5/11/14 9:27 AM,0,88,0.003,0
4G,63,10/24/12 9:27 AM,3,42,0.057,0
4G,10,8/5/11 9:27 AM,2,94,0.026,0
landline,18,3/25/13 10:27 AM,0,37,0.005,0
4G,67,9/28/12 9:27 AM,2,91,0.02,0
4G,60,3/18/15 10:27 AM,0,17,0.008,0
4G,40,8/24/11 9:27 AM,6,56,0.102,0
phone,5,7/6/12 9:27 AM,3,106,0.016,0
landline,50,3/6/15 9:27 AM,4,85,0.003,0
4G,50,10/14/11 9:27 AM,4,38,0.104,0
phone,16,10/20/11 9:27 AM,2,96,0.016,0
phone,44,10/23/14 9:27 AM,0,104,0.001,0
landline,71,9/8/11 9:27 AM,1,35,0.015,0
phone,64,11/26/11 9:27 AM,6,66,0.054,0
4G,61,4/30/11 9:27 AM,0,50,0.018,0
fiber,78,10/8/10 9:27 AM,2,42,0.093,0
4G,24,5/2/12 9:27 AM,0,100,0.007,0
fiber,63,9/29/10 9:27 AM,1,80,0.033,0
4G,64,5/14/14 9:27 AM,1,25,0.024,0
phone,60,6/19/14 9:27 AM,4,11,0.085,0
phone,39,4/21/15 9:27 AM,1,13,0.013,0
landline,29,6/28/12 9:27 AM,2,42,0.016,0
landline,43,11/2/15 9:27 AM,0,18,0,0
landline,63,2/12/14 9:27 AM,0,58,0.002,0
phone,43,3/27/11 9:27 AM,1,62,0.019,0
4G,19,5/15/11 9:27 AM,4,109,0.04,0
phone,71,10/20/12 9:27 AM,0,67,0.006,0
phone,22,4/26/15 9:27 AM,2,98,0.002,0
fiber,28,11/15/15 9:27 AM,1,73,0.001,0
4G,46,11/7/14 9:27 AM,2,64,0.01,0
4G,56,9/28/14 9:27 AM,3,31,0.03,0
4G,5,10/5/10 9:27 AM,1,11,0.179,0
phone,3,9/23/11 9:27 AM,9,84,0.063,0
landline,3,7/15/12 9:27 AM,0,54,0.004,0
phone,48,3/1/15 9:27 AM,4,94,0.005,0
4G,26,7/19/12 9:27 AM,0,39,0.017,0
phone,51,10/6/13 9:27 AM,0,75,0.004,0
phone,27,9/30/13 9:27 AM,0,60,0.005,0
4G,55,1/3/12 9:27 AM,0,68,0.011,0
4G,43,7/30/13 9:27 AM,0,85,0.005,0
phone,44,9/29/10 9:27 AM,0,55,0.012,0
4G,72,1/16/15 9:27 AM,5,103,0.01,0
landline,23,8/11/14 9:27 AM,0,92,0.001,0
4G,67,8/27/14 9:27 AM,1,74,0.007,0
4G,7,2/18/14 9:27 AM,0,101,0.003,0
phone,75,4/20/12 9:27 AM,0,106,0.004,0
4G,46,10/23/10 9:27 AM,0,18,0.054,0
4G,67,12/5/12 9:27 AM,3,97,0.024,0
fiber,50,5/8/14 9:27 AM,0,41,0.01,0
fiber,20,2/28/15 9:27 AM,2,30,0.02,0
4G,71,1/6/12 9:27 AM,0,72,0.01,0
4G,0,4/29/14 9:27 AM,0,88,0.003,0
phone,45,2/27/13 9:27 AM,6,62,0.04,0
landline,44,4/9/13 9:27 AM,9,35,0.048,0
4G,16,12/11/15 9:27 AM,0,42,0,0
4G,58,12/28/12 9:27 AM,0,58,0.01,0
landline,64,12/29/14 9:27 AM,1,78,0.002,0
landline,41,2/16/11 9:27 AM,0,51,0.006,0
phone,10,11/4/11 10:27 AM,2,21,0.074,0
phone,39,10/5/10 9:27 AM,0,80,0.008,0
phone,74,10/8/13 9:27 AM,4,93,0.015,0
fiber,29,10/21/10 9:27 AM,3,47,0.111,0
phone,34,5/22/15 9:27 AM,1,18,0.008,0
4G,71,6/3/14 9:27 AM,0,99,0.003,0
phone,40,4/5/14 9:27 AM,0,107,0.002,0
landline,21,5/1/12 9:27 AM,0,72,0.003,0
4G,1,1/31/15 9:27 AM,3,40,0.016,0
4G,23,11/22/13 9:27 AM,0,96,0.004,0
landline,2,10/22/10 9:27 AM,1,15,0.043,0
phone,31,10/12/12 9:27 AM,0,63,0.006,0
phone,75,10/22/10 9:27 AM,0,79,0.008,0
4G,45,11/28/12 9:27 AM,4,78,0.037,0
phone,39,4/6/11 9:27 AM,0,102,0.006,0
4G,46,3/28/12 9:27 AM,5,63,0.067,0
fiber,53,5/17/15 9:27 AM,1,68,0.004,0
landline,1,8/6/14 9:27 AM,1,10,0.017,0
4G,10,10/2/15 9:27 AM,0,96,0,0
4G,11,2/9/13 9:27 AM,0,96,0.006,0
4G,72,12/3/11 9:27 AM,0,103,0.007,0
fiber,36,8/7/10 9:27 AM,0,40,0.034,0
phone,30,5/23/12 9:27 AM,0,74,0.006,0
4G,63,9/6/10 9:27 AM,0,81,0.012,0
4G,46,11/10/13 9:27 AM,1,14,0.057,0
phone,64,12/14/12 9:27 AM,4,74,0.026,0
4G,12,5/26/14 9:27 AM,0,58,0.005,0
4G,51,7/18/12 9:27 AM,0,44,0.015,0
4G,32,6/23/12 9:27 AM,0,34,0.019,0
phone,78,1/28/14 9:27 AM,1,94,0.005,0
4G,38,8/24/12 9:27 AM,1,66,0.019,0
4G,26,12/30/10 9:27 AM,3,12,0.313,0
phone,53,5/16/12 9:27 AM,3,13,0.139,0
4G,19,8/22/14 9:27 AM,0,80,0.003,0
phone,37,6/19/12 9:27 AM,0,84,0.005,0
4G,51,7/31/15 9:27 AM,3,24,0.012,0
fiber,43,6/4/13 9:27 AM,0,31,0.021,0
fiber,54,3/7/13 9:27 AM,2,28,0.075,0
phone,28,6/17/12 9:27 AM,0,58,0.008,0
phone,48,8/16/14 9:27 AM,0,106,0.002,0
4G,69,3/22/14 10:27 AM,0,99,0.003,0
4G,6,8/31/13 9:27 AM,1,105,0.008,0
phone,20,7/11/10 9:27 AM,1,46,0.03,0
phone,60,8/30/11 9:27 AM,1,89,0.012,0
fiber,52,2/27/15 9:27 AM,0,73,0.003,0
phone,9,8/30/15 9:27 AM,2,79,0.001,0
4G,39,1/27/12 9:27 AM,0,58,0.013,0
phone,62,8/1/12 9:27 AM,2,31,0.041,0
4G,78,4/7/11 9:27 AM,5,60,0.089,0
fiber,48,2/7/11 9:27 AM,4,21,0.291,0
fiber,41,3/15/11 10:27 AM,5,48,0.15,0
phone,15,5/14/13 9:27 AM,6,27,0.085,0
fiber,77,4/13/14 9:27 AM,7,78,0.043,0
4G,78,3/5/14 9:27 AM,6,17,0.139,0
fiber,2,10/4/11 9:27 AM,1,51,0.042,0
phone,12,8/9/15 9:27 AM,3,72,0.002,0
phone,10,3/30/11 9:27 AM,2,109,0.016,0
fiber,62,2/18/14 9:27 AM,4,101,0.023,0
4G,23,4/24/12 9:27 AM,1,54,0.026,0
4G,76,9/16/14 9:27 AM,0,103,0.002,0
landline,48,9/10/11 9:27 AM,7,102,0.021,0
phone,77,9/4/12 9:27 AM,1,27,0.031,0
4G,51,12/19/11 9:27 AM,0,11,0.069,0
4G,30,7/22/15 9:27 AM,0,41,0.002,0
4G,3,8/6/15 9:27 AM,1,92,0.001,0
landline,55,1/24/13 9:27 AM,4,52,0.018,0
phone,63,12/3/14 9:27 AM,1,56,0.005,0
phone,80,8/10/10 9:27 AM,3,101,0.027,0
landline,70,5/16/15 9:27 AM,1,33,0.002,0
landline,53,5/15/13 9:27 AM,8,92,0.016,0
phone,71,7/23/11 9:27 AM,0,26,0.021,0
4G,60,10/13/15 9:27 AM,1,82,0.001,0
fiber,75,6/4/15 9:27 AM,0,16,0.008,0
phone,77,9/26/14 9:27 AM,7,54,0.023,0
landline,24,9/18/13 9:27 AM,0,79,0.002,0
4G,47,9/7/14 9:27 AM,2,104,0.007,0
phone,14,8/5/14 9:27 AM,7,89,0.015,0
phone,53,10/17/11 9:27 AM,6,105,0.035,0
fiber,41,12/7/11 9:27 AM,4,69,0.074,0
landline,35,10/5/14 9:27 AM,1,85,0.002,0
phone,67,8/18/11 9:27 AM,10,73,0.082,0
phone,73,4/7/12 9:27 AM,3,82,0.023,0
phone,14,5/3/12 9:27 AM,1,54,0.017,0
fiber,57,1/4/11 9:27 AM,0,70,0.018,0
4G,79,9/16/15 9:27 AM,4,100,0.002,0
fiber,37,7/22/13 9:27 AM,3,62,0.039,0
landline,60,6/25/11 9:27 AM,0,27,0.01,0
phone,2,4/5/12 9:27 AM,1,40,0.023,0
4G,36,9/3/14 9:27 AM,6,75,0.023,0
4G,72,9/1/10 9:27 AM,0,47,0.021,0
phone,32,12/13/11 9:27 AM,1,93,0.011,0
4G,40,3/14/15 10:27 AM,0,33,0.004,0
phone,62,11/16/14 9:27 AM,0,15,0.009,0
landline,76,6/24/13 9:27 AM,4,29,0.027,0
4G,36,11/18/11 9:27 AM,2,69,0.034,0
phone,14,9/27/12 9:27 AM,4,102,0.02,0
4G,1,10/15/10 9:27 AM,7,53,0.148,0
4G,1,11/12/12 9:27 AM,0,85,0.007,0
landline,14,11/16/12 9:27 AM,1,42,0.009,0
landline,78,6/20/13 9:27 AM,3,25,0.025,0
phone,59,9/4/11 9:27 AM,1,68,0.016,0
landline,42,7/30/13 9:27 AM,8,75,0.018,0
phone,47,6/22/12 9:27 AM,0,107,0.004,0
phone,3,10/15/15 9:27 AM,0,41,0.001,0
phone,64,8/21/11 9:27 AM,0,64,0.009,0
landline,72,9/27/11 9:27 AM,3,64,0.017,0
phone,73,3/29/13 10:27 AM,0,107,0.003,0
phone,38,7/8/12 9:27 AM,2,84,0.015,0
4G,59,10/20/12 9:27 AM,1,15,0.079,0
4G,17,7/16/12 9:27 AM,1,101,0.013,0
phone,44,6/12/11 9:27 AM,8,94,0.054,0
landline,51,11/25/14 9:27 AM,1,99,0.001,0
4G,15,9/24/12 9:27 AM,0,17,0.036,0
4G,64,6/24/10 9:27 AM,1,108,0.019,0
phone,32,4/21/14 9:27 AM,0,76,0.003,0
4G,52,6/10/15 9:27 AM,3,20,0.019,0
4G,77,2/1/12 9:27 AM,2,87,0.025,0
landline,16,11/29/12 9:27 AM,0,36,0.005,0
phone,18,9/29/14 9:27 AM,7,52,0.023,0
4G,51,7/12/13 9:27 AM,6,85,0.038,0
fiber,21,3/1/13 9:27 AM,0,109,0.006,0
phone,47,7/16/15 9:27 AM,0,48,0.001,0
landline,76,8/28/13 9:27 AM,0,81,0.002,0
phone,63,5/16/11 9:27 AM,0,26,0.022,0
fiber,78,10/18/13 9:27 AM,0,58,0.009,0
phone,60,4/16/14 9:27 AM,8,56,0.034,0
4G,63,12/7/13 9:27 AM,2,36,0.032,0
phone,2,4/5/11 9:27 AM,1,67,0.018,0
fiber,48,5/1/12 9:27 AM,5,37,0.148,0
phone,57,10/21/10 9:27 AM,2,47,0.041,0
4G,76,3/24/15 10:27 AM,0,61,0.002,0
4G,5,11/17/15 9:27 AM,3,80,0.001,0
landline,23,7/6/11 9:27 AM,4,106,0.013,0
4G,29,2/4/14 9:27 AM,1,56,0.013,0
4G,48,5/2/13 9:27 AM,0,56,0.009,0
phone,44,8/14/15 9:27 AM,0,60,0.001,0
phone,54,1/6/13 9:27 AM,5,24,0.093,0
4G,24,5/1/13 9:27 AM,4,65,0.038,0
phone,6,6/27/12 9:27 AM,3,47,0.037,0
phone,67,8/1/11 9:27 AM,8,58,0.086,0
phone,53,2/26/14 9:27 AM,1,108,0.004,0
4G,52,4/27/14 9:27 AM,1,81,0.008,0
4G,69,8/10/15 9:27 AM,8,37,0.016,0
phone,11,3/4/13 9:27 AM,2,96,0.011,0
phone,74,12/1/14 9:27 AM,3,69,0.008,0
4G,49,11/26/13 9:27 AM,0,57,0.007,0
landline,1,1/5/15 9:27 AM,0,60,0.001,0
fiber,73,12/17/14 9:27 AM,0,62,0.004,0
phone,51,4/29/12 9:27 AM,1,22,0.042,0
4G,34,10/8/14 9:27 AM,1,93,0.005,0
4G,61,7/20/10 9:27 AM,0,79,0.013,0
phone,47,12/11/12 9:27 AM,0,48,0.008,0
4G,42,4/29/14 9:27 AM,1,28,0.022,0
4G,76,1/11/15 9:27 AM,6,20,0.061,0
4G,44,9/13/11 9:27 AM,1,86,0.019,0
4G,64,1/7/12 9:27 AM,7,41,0.145,0
4G,13,2/21/12 9:27 AM,7,22,0.262,0
fiber,60,10/29/15 10:27 AM,0,41,0.001,0
4G,14,11/30/15 9:27 AM,0,38,0,0
fiber,8,11/27/10 9:27 AM,4,31,0.205,0
phone,23,3/26/13 10:27 AM,1,55,0.012,0
phone,27,9/17/10 9:27 AM,10,38,0.191,0
4G,25,10/18/14 9:27 AM,1,97,0.005,0
4G,8,5/25/13 9:27 AM,6,29,0.117,0
4G,19,6/30/10 9:27 AM,9,97,0.107,0
4G,79,1/1/14 9:27 AM,8,36,0.092,0
4G,36,2/5/15 9:27 AM,0,56,0.003,0
landline,53,3/20/13 10:27 AM,0,100,0.002,0
4G,32,6/1/12 9:27 AM,5,89,0.045,0
phone,71,10/21/13 9:27 AM,0,78,0.003,0
landline,46,1/26/15 9:27 AM,0,104,0.001,0
4G,43,10/1/12 9:27 AM,0,70,0.009,0
phone,68,5/11/14 9:27 AM,3,41,0.02,0
phone,28,7/21/10 9:27 AM,1,77,0.018,0
4G,43,1/23/13 9:27 AM,0,101,0.005,0
4G,14,7/24/13 9:27 AM,1,29,0.031,0
landline,58,1/15/11 9:27 AM,6,62,0.035,0
phone,41,11/30/10 9:27 AM,0,48,0.013,0
phone,67,5/11/11 9:27 AM,2,78,0.022,0
landline,29,12/31/13 9:27 AM,0,75,0.002,0
4G,69,8/11/13 9:27 AM,4,76,0.029,0
4G,15,9/13/13 9:27 AM,10,70,0.067,0
4G,46,3/30/14 9:27 AM,1,95,0.007,0
landline,77,8/20/15 9:27 AM,0,30,0.001,0
4G,6,12/3/11 9:27 AM,0,37,0.021,0
fiber,28,8/2/13 9:27 AM,0,24,0.025,0
phone,12,5/20/13 9:27 AM,4,69,0.023,0
phone,23,8/23/12 9:27 AM,2,28,0.045,0
landline,27,9/30/12 9:27 AM,3,106,0.008,0
phone,3,9/5/13 9:27 AM,0,15,0.019,0
4G,77,1/28/15 9:27 AM,1,48,0.007,0
phone,77,5/3/15 9:27 AM,6,55,0.01,0
landline,43,11/28/13 9:27 AM,10,36,0.039,0
4G,19,11/11/11 9:27 AM,9,86,0.09,0
4G,31,12/29/13 9:27 AM,1,104,0.007,0
4G,63,11/13/11 9:27 AM,3,67,0.046,0
4G,52,10/15/11 9:27 AM,4,72,0.055,0
4G,40,5/25/12 9:27 AM,2,90,0.022,0
fiber,2,11/5/14 9:27 AM,0,17,0.016,0
fiber,63,7/28/14 9:27 AM,1,83,0.008,0
4G,66,3/20/15 10:27 AM,0,101,0.001,0
fiber,71,8/13/12 9:27 AM,2,42,0.06,0
4G,73,2/25/13 9:27 AM,0,54,0.01,0
4G,64,8/8/10 9:27 AM,0,69,0.015,0
phone,37,8/19/11 9:27 AM,3,72,0.03,0
fiber,3,1/27/13 9:27 AM,0,34,0.021,0
fiber,20,4/3/14 9:27 AM,3,65,0.026,0
fiber,43,4/17/11 9:27 AM,1,83,0.028,0
phone,20,11/6/11 9:27 AM,0,91,0.006,0
phone,70,4/14/15 9:27 AM,0,17,0.005,0
4G,31,6/24/10 9:27 AM,0,100,0.01,0
phone,2,3/24/14 10:27 AM,1,41,0.011,0
phone,2,8/6/13 9:27 AM,0,64,0.005,0
fiber,40,7/21/10 9:27 AM,0,101,0.013,0
phone,41,8/1/13 9:27 AM,0,88,0.003,0
4G,57,1/24/13 9:27 AM,7,21,0.208,0
4G,49,4/8/12 9:27 AM,0,23,0.03,0
4G,23,7/31/11 9:27 AM,2,38,0.065,0
phone,46,1/10/13 9:27 AM,2,28,0.04,0
phone,19,3/19/13 10:27 AM,0,88,0.004,0
phone,64,6/1/14 9:27 AM,3,52,0.015,0
landline,75,10/26/10 9:27 AM,10,60,0.059,0
landline,54,6/25/15 9:27 AM,4,27,0.006,0
landline,12,8/9/10 9:27 AM,0,33,0.01,0
phone,39,4/26/11 9:27 AM,3,103,0.023,0
landline,63,5/30/12 9:27 AM,7,55,0.033,0
4G,43,9/28/10 9:27 AM,0,39,0.025,0
4G,44,7/24/10 9:27 AM,0,105,0.01,0
landline,16,12/27/12 9:27 AM,0,50,0.004,0
fiber,77,9/17/13 9:27 AM,3,50,0.045,0
phone,63,2/24/14 9:27 AM,4,97,0.012,0
phone,26,7/11/10 9:27 AM,1,85,0.016,0
phone,25,1/9/13 9:27 AM,4,96,0.019,0
landline,44,8/18/10 9:27 AM,2,57,0.018,0
4G,32,10/12/12 9:27 AM,3,61,0.039,0
fiber,29,3/14/13 10:27 AM,1,23,0.06,0
4G,70,1/20/11 9:27 AM,0,45,0.021,0
4G,66,12/9/11 9:27 AM,3,12,0.253,0
4G,28,7/5/11 9:27 AM,1,88,0.019,0
fiber,61,10/4/11 9:27 AM,0,109,0.01,0
phone,32,3/28/15 10:27 AM,0,53,0.002,0
phone,11,6/9/11 9:27 AM,7,89,0.051,0
